position,input Position,company,location,input City,salary
"Associate Director, Social Creative, GQ Sports",Creative Director,Conde Nast,"New York, NY
+2 locations",New York City,80.0
Creative Director,Creative Director,Havas Group,"New York, NY
+1 location",New York City,96.65
Creative Director,Creative Director,Razorfish,"New York, NY 10014 
(SoHo area)
+1 location",New York City,114.5
"Creative Director, Marketing",Creative Director,Paramount+,"Remote in New York, NY 10036
+1 location",New York City,96.7
"Director, Global Creative Packaging, MAC",Creative Director,The Estée Lauder Companies,"New York, NY
+1 location",New York City,114.0
Creative Director,Creative Director,Showtime,"New York, NY 10036",New York City,101.9
"Creative Direction, Content Director",Creative Director,Accenture,"New York, NY
+4 locations",New York City,173.74
Creative Director,Creative Director,Hearst Media Services,"New York, NY 10019 
(Midtown area)",New York City,134.0
Creative Director,Creative Director,Ropes & Gray,"New York, NY 10036 
(Midtown area)",New York City,115.5
Associate Creative Director,Creative Director,B-Reel,"New York, NY 10013 
(Tribeca area)",New York City,126.5
"Creative Director, Blue Studio",Creative Director,IBM,"New York, NY 10001 
(Chelsea area)
+1 location",New York City,119.0
"Creative Director, WhatsApp",Creative Director,WhatsApp,"New York, NY
+2 locations",New York City,133.0
Creative Director,Creative Director,Blink Fitness,"New York, NY 10016 
(Gramercy area)",New York City,159.5
Creative Director,Creative Director,Dentsu Media,"New York, NY 10017 
(Murray Hill area)",New York City,120.0
"Associate Director, Creative Strategy",Creative Director,"Employment Opportunities at BuzzFeed, Inc.","Remote in New York, NY",New York City,114.5
"Associate Creative Director, Art",Creative Director,160over90,"New York, NY
+1 location",New York City,94.15
Associate Creative Director (Freelance) - Remote,Creative Director,Revolt Media & TV,"Remote in New York, NY 10018",New York City,94.95
Associate Creative Director Boston / New York / Bay Area / C...,Creative Director,Neoscape,"Remote in New York, NY",New York City,75.6835
"Manager, Creative Director",Creative Director,Capital One,"New York, NY 10017 
(Midtown area)
+1 location",New York City,118.0
Creative Director,Creative Director,Billie,"Remote in New York, NY",New York City,152.0
"Director, Creative Operations",Creative Director,Peloton,"New York, NY 10011 
(Chelsea area)",New York City,113.5
Creative Director,Creative Director,Gravity Road,"New York, NY 10012 
(Little Italy area)",New York City,180.0
Creative Director,Creative Director,Thinkingbox,"New York, NY",New York City,128.0
"Creative Director, Copy",Creative Director,Deloitte,"New York, NY
+4 locations",New York City,138.0
"Associate Creative Director, Refinery29",Creative Director,VICE MEDIA GROUP,"Brooklyn, NY 11249 
(Chelsea area)
+1 location",New York City,100.3
"Associate Director, Social Creative, GQ Sports",Creative Director,Conde Nast,"New York, NY
+2 locations",New York City,80.0
Creative Director,Creative Director,Havas Group,"New York, NY
+1 location",New York City,96.65
Creative Director,Creative Director,Razorfish,"New York, NY 10014 
(SoHo area)
+1 location",New York City,114.5
"Creative Director, Marketing",Creative Director,Paramount+,"Remote in New York, NY 10036
+1 location",New York City,96.7
"Director, Global Creative Packaging, MAC",Creative Director,The Estée Lauder Companies,"New York, NY
+1 location",New York City,114.0
Creative Director,Creative Director,Showtime,"New York, NY 10036",New York City,101.9
"Creative Direction, Content Director",Creative Director,Accenture,"New York, NY
+4 locations",New York City,173.74
Creative Director,Creative Director,Hearst Media Services,"New York, NY 10019 
(Midtown area)",New York City,134.0
Creative Director,Creative Director,Ropes & Gray,"New York, NY 10036 
(Midtown area)",New York City,115.5
Associate Creative Director,Creative Director,B-Reel,"New York, NY 10013 
(Tribeca area)",New York City,126.5
"Creative Director, Blue Studio",Creative Director,IBM,"New York, NY 10001 
(Chelsea area)
+1 location",New York City,119.0
"Creative Director, WhatsApp",Creative Director,WhatsApp,"New York, NY
+2 locations",New York City,133.0
Creative Director,Creative Director,Blink Fitness,"New York, NY 10016 
(Gramercy area)",New York City,159.5
Creative Director,Creative Director,Dentsu Media,"New York, NY 10017 
(Murray Hill area)",New York City,120.0
"Associate Director, Creative Strategy",Creative Director,"Employment Opportunities at BuzzFeed, Inc.","Remote in New York, NY",New York City,114.5
"Associate Creative Director, Art",Creative Director,160over90,"New York, NY
+1 location",New York City,94.15
Associate Creative Director (Freelance) - Remote,Creative Director,Revolt Media & TV,"Remote in New York, NY 10018",New York City,94.95
Associate Creative Director Boston / New York / Bay Area / C...,Creative Director,Neoscape,"Remote in New York, NY",New York City,75.6835
"Manager, Creative Director",Creative Director,Capital One,"New York, NY 10017 
(Midtown area)
+1 location",New York City,118.0
Creative Director,Creative Director,Billie,"Remote in New York, NY",New York City,152.0
"Director, Creative Operations",Creative Director,Peloton,"New York, NY 10011 
(Chelsea area)",New York City,113.5
Creative Director,Creative Director,Gravity Road,"New York, NY 10012 
(Little Italy area)",New York City,180.0
Creative Director,Creative Director,Thinkingbox,"New York, NY",New York City,128.0
"Creative Director, Copy",Creative Director,Deloitte,"New York, NY
+4 locations",New York City,138.0
"Associate Creative Director, Refinery29",Creative Director,VICE MEDIA GROUP,"Brooklyn, NY 11249 
(Chelsea area)
+1 location",New York City,100.3
"Associate Director, Social Creative, GQ Sports",Creative Director,Conde Nast,"New York, NY
+2 locations",New York City,80.0
Creative Director,Creative Director,Hearst Media Services,"New York, NY 10019 
(Midtown area)",New York City,134.0
"Manager, Creative Director",Creative Director,Capital One,"New York, NY 10017 
(Midtown area)
+1 location",New York City,118.0
Creative Director,Creative Director,Razorfish,"New York, NY 10014 
(SoHo area)
+1 location",New York City,114.5
"Director, Global Creative Packaging, MAC",Creative Director,The Estée Lauder Companies,"New York, NY
+1 location",New York City,114.0
Creative Director,Creative Director,Havas Group,"New York, NY
+1 location",New York City,96.65
Creative Director,Creative Director,Blink Fitness,"New York, NY 10016 
(Gramercy area)",New York City,159.5
"Creative Director, Marketing",Creative Director,Paramount+,"Remote in New York, NY 10036
+1 location",New York City,96.7
Creative Director,Creative Director,Gravity Road,"New York, NY 10012 
(Little Italy area)",New York City,180.0
Creative Director,Creative Director,Showtime,"New York, NY 10036",New York City,101.9
"Associate Director, Creative Strategy",Creative Director,"Employment Opportunities at BuzzFeed, Inc.","Remote in New York, NY",New York City,114.5
Creative Director,Creative Director,Billie,"Remote in New York, NY",New York City,152.0
Associate Creative Director,Creative Director,B-Reel,"New York, NY 10013 
(Tribeca area)",New York City,126.5
"Creative Director, Blue Studio",Creative Director,IBM,"New York, NY 10001 
(Chelsea area)
+1 location",New York City,119.0
Creative Director,Creative Director,Ropes & Gray,"New York, NY 10036 
(Midtown area)",New York City,115.5
"Director, Creative Operations",Creative Director,Peloton,"New York, NY 10011 
(Chelsea area)",New York City,113.5
Associate Creative Director (Freelance) - Remote,Creative Director,Revolt Media & TV,"Remote in New York, NY 10018",New York City,94.95
Creative Director,Creative Director,Thinkingbox,"New York, NY",New York City,128.0
Executive Creative Director,Creative Director,StockX,"Remote in New York, NY 10002",New York City,136.0
"Creative Direction, Content Director",Creative Director,Accenture,"New York, NY
+4 locations",New York City,173.74
"Creative Director, WhatsApp",Creative Director,WhatsApp,"New York, NY
+2 locations",New York City,133.0
"Creative Director, Shared Studio",Creative Director,The New York Times,"New York, NY",New York City,119.0
"Associate Creative Director, Art",Creative Director,160over90,"New York, NY
+1 location",New York City,94.15
"Associate Creative Director, Refinery29",Creative Director,VICE MEDIA GROUP,"Brooklyn, NY 11249 
(Chelsea area)
+1 location",New York City,100.3
Creative Director,Creative Director,Dolls Kill,"Los Angeles, CA",Los Angeles,190.5
Creative Director,Creative Director,Netflix,"Los Angeles, CA",Los Angeles,173.5
"Creative Director, FX Networks",Creative Director,Disney Media & Entertainment Distribution,"Los Angeles, CA",Los Angeles,152.0
"Associate Creative Director, Social Creative (Freeform)",Creative Director,Walt Disney Television,"Burbank, CA",Los Angeles,133.0
Metaverse Creative Director,Creative Director,Accenture,"Los Angeles, CA 90013 
(Downtown area)",Los Angeles,211.458
Creative Director - REMOTE WORK,Creative Director,BairesDev,"Remote in Los Angeles, CA",Los Angeles,143.5
Executive Creative Director,Creative Director,Movement Strategy,"Los Angeles, CA
+2 locations",Los Angeles,125.5
Creative Director,Creative Director,Golin,"Los Angeles, CA",Los Angeles,185.0
Associate Creative Director (Freelance) - Remote,Creative Director,Revolt Media & TV,"Remote in Los Angeles, CA 90028",Los Angeles,93.0
Brand Creative Director,Creative Director,NTWRK,"Los Angeles, CA 90079 
(Downtown area)",Los Angeles,105.5
"Senior Director, Creative Sync",Creative Director,Capitol Music Group,"Los Angeles, CA",Los Angeles,120.0
Associate Creative Director,Creative Director,attn:,"Remote in Los Angeles, CA",Los Angeles,124.5
Creative Director,Creative Director,Paramount+,"Los Angeles, CA 90038",Los Angeles,92.35
"Director, Creative Marketing",Creative Director,Paramount+,"Burbank, CA 91505",Los Angeles,110.15
"Director, eCommerce Creative – Def Jam",Creative Director,Def Jam,"Santa Monica, CA 90404",Los Angeles,122.0
"Director, Creative Advertising",Creative Director,Lionsgate,"Santa Monica, CA 90404",Los Angeles,114.0
Creative Director,Creative Director,Buck Mason,"Los Angeles, CA 90026 
(Silver Lake area)",Los Angeles,101.1
Creative Director,Creative Director,DigDeep Right to Water Project,"Hybrid remote in Los Angeles, CA 90021",Los Angeles,110.85
Creative Director,Creative Director,Korrus,"Los Angeles, CA 90012",Los Angeles,132.5
Creative Director (Remote),Creative Director,Olaplex,"Remote in Los Angeles, CA",Los Angeles,132.5
Associate Creative Director,Creative Director,Happylucky Inc,"Los Angeles, CA 90028",Los Angeles,118.0
Associate Creative Director,Creative Director,VaynerMedia LLC,"Los Angeles, CA",Los Angeles,156.5
Creative Director,Creative Director,Dolls Kill,"Los Angeles, CA",Los Angeles,190.5
"Associate Creative Director, Social Creative (Freeform)",Creative Director,Walt Disney Television,"Burbank, CA",Los Angeles,133.0
Creative Director,Creative Director,Netflix,"Los Angeles, CA",Los Angeles,173.5
"Creative Director, FX Networks",Creative Director,Disney Media & Entertainment Distribution,"Los Angeles, CA",Los Angeles,152.0
Associate Creative Director (Freelance) - Remote,Creative Director,Revolt Media & TV,"Remote in Los Angeles, CA 90028",Los Angeles,93.0
Metaverse Creative Director,Creative Director,Accenture,"Los Angeles, CA 90013 
(Downtown area)",Los Angeles,211.458
Creative Director - REMOTE WORK,Creative Director,BairesDev,"Remote in Los Angeles, CA",Los Angeles,143.5
Executive Creative Director,Creative Director,Movement Strategy,"Los Angeles, CA
+2 locations",Los Angeles,125.5
Creative Director,Creative Director,Paramount+,"Los Angeles, CA 90038",Los Angeles,92.35
"Director, eCommerce Creative – Def Jam",Creative Director,Def Jam,"Santa Monica, CA 90404",Los Angeles,122.0
Creative Director,Creative Director,Golin,"Los Angeles, CA",Los Angeles,185.0
"Director, Creative Marketing",Creative Director,Paramount+,"Burbank, CA 91505",Los Angeles,110.15
"Senior Director, Creative Sync",Creative Director,Capitol Music Group,"Los Angeles, CA",Los Angeles,120.0
Brand Creative Director,Creative Director,NTWRK,"Los Angeles, CA 90079 
(Downtown area)",Los Angeles,105.5
"Director, Creative Advertising",Creative Director,Lionsgate,"Santa Monica, CA 90404",Los Angeles,114.0
Creative Director (Remote),Creative Director,Olaplex,"Remote in Los Angeles, CA",Los Angeles,132.5
Creative Director,Creative Director,DigDeep Right to Water Project,"Hybrid remote in Los Angeles, CA 90021",Los Angeles,110.85
Creative Director,Creative Director,Buck Mason,"Los Angeles, CA 90026 
(Silver Lake area)",Los Angeles,101.1
Associate Creative Director,Creative Director,attn:,"Remote in Los Angeles, CA",Los Angeles,124.5
Creative Director,Creative Director,Hourglass Cosmetics,"West Hollywood, CA",Los Angeles,125.5
Associate Creative Director,Creative Director,Happylucky Inc,"Los Angeles, CA 90028",Los Angeles,118.0
Restaurant Design and Development Director for a Growing Bra...,Creative Director,Newcomb & Associates LLC,"Remote in Los Angeles, CA",Los Angeles,140.0
Associate Creative Director,Creative Director,VaynerMedia LLC,"Los Angeles, CA",Los Angeles,156.5
Creative Director,Creative Director,Dolls Kill,"Los Angeles, CA",Los Angeles,190.5
Creative Director,Creative Director,Netflix,"Los Angeles, CA",Los Angeles,173.5
"Associate Creative Director, Social Creative (Freeform)",Creative Director,Walt Disney Television,"Burbank, CA",Los Angeles,133.0
"Creative Director, FX Networks",Creative Director,Disney Media & Entertainment Distribution,"Los Angeles, CA",Los Angeles,152.0
Associate Creative Director (Freelance) - Remote,Creative Director,Revolt Media & TV,"Remote in Los Angeles, CA 90028",Los Angeles,93.0
"Director, eCommerce Creative – Def Jam",Creative Director,Def Jam,"Santa Monica, CA 90404",Los Angeles,122.0
Brand Creative Director,Creative Director,NTWRK,"Los Angeles, CA 90079 
(Downtown area)",Los Angeles,105.5
Metaverse Creative Director,Creative Director,Accenture,"Los Angeles, CA 90013 
(Downtown area)",Los Angeles,211.458
Creative Director - REMOTE WORK,Creative Director,BairesDev,"Remote in Los Angeles, CA",Los Angeles,143.5
Creative Director,Creative Director,Golin,"Los Angeles, CA",Los Angeles,185.0
Creative Director,Creative Director,Paramount+,"Los Angeles, CA 90038",Los Angeles,92.35
"Director, Creative Marketing",Creative Director,Paramount+,"Burbank, CA 91505",Los Angeles,110.15
"Senior Director, Creative Sync",Creative Director,Capitol Music Group,"Los Angeles, CA",Los Angeles,120.0
"Director, Creative Advertising",Creative Director,Lionsgate,"Santa Monica, CA 90404",Los Angeles,114.0
Executive Creative Director,Creative Director,Movement Strategy,"Los Angeles, CA
+2 locations",Los Angeles,125.5
Associate Creative Director,Creative Director,attn:,"Remote in Los Angeles, CA",Los Angeles,124.5
Restaurant Design and Development Director for a Growing Bra...,Creative Director,Newcomb & Associates LLC,"Remote in Los Angeles, CA",Los Angeles,140.0
Creative Director,Creative Director,DigDeep Right to Water Project,"Hybrid remote in Los Angeles, CA 90021",Los Angeles,110.85
Creative Director,Creative Director,Buck Mason,"Los Angeles, CA 90026 
(Silver Lake area)",Los Angeles,101.1
Associate Creative Director,Creative Director,Happylucky Inc,"Los Angeles, CA 90028",Los Angeles,118.0
Creative Director (Remote),Creative Director,Olaplex,"Remote in Los Angeles, CA",Los Angeles,132.5
Associate Creative Director,Creative Director,VaynerMedia LLC,"Los Angeles, CA",Los Angeles,156.5
Creative Director,Creative Director,Hourglass Cosmetics,"West Hollywood, CA",Los Angeles,125.5
"Creative Director, Global Brand & Originals",Creative Director,Paramount Networks International,"Miami, FL 33136 
(Overtown area)",Miami,118.0
Senior Creative Director,Creative Director,Metrostudio,"Miami, FL",Miami,121.5
Metaverse Creative Director,Creative Director,Accenture,"Miami, FL 33126 
(Flagami area)
+1 location",Miami,211.458
Social Media Director,Creative Director,Miami Dade College,"Miami, FL 33132 
(Downtown area)",Miami,85.7935
"Creative Services Director, WSFL",Creative Director,The E.W. Scripps Company,"Miami, FL",Miami,101.85
Creative Director,Creative Director,Paper Street Media,"Miami, FL 33132 
(Downtown area)",Miami,86.7
Associate Creative Director-Copy,Creative Director,Razorfish,"Remote in Miami, FL 33133",Miami,104.5
"Boutique Director, Miami Design District, Men's",Creative Director,Christian Dior Couture,"Miami, FL 33137 
(Little Haiti area)",Miami,55.1
Creative Director,Creative Director,Viramar Worldwide,"Fort Lauderdale, FL",Miami,89.3
Creative Director - Marketing Manager,Creative Director,Orionvisual,"Miami, FL 33150",Miami,73.1
Creative Director,Creative Director,West Marine,"Fort Lauderdale, FL",Miami,133.5
Experience Design Director,Creative Director,Razorfish,"Miami, FL 33133 
(North-East Coconut Grove area)
+2 locations",Miami,83.3
Art Director,Creative Director,Accenture,"Miami, FL 33126 
(Flagami area)",Miami,93.142
Associate Creative Director - Design - Deloitte’s Green Dot...,Creative Director,Deloitte,"Miami, FL 33131 
(Downtown area)
+2 locations",Miami,131.5
"Director, Experience Design",Creative Director,Magic Leap - Multiple Locations,"Remote in Fort Lauderdale, FL",Miami,157.0
Event - Art Director/Jr Art Director (Depending on Experienc...,Creative Director,Everlast Productions Event Entertainment,"Dania, FL 33004",Miami,57.5
"Creative Director, Global Brand & Originals",Creative Director,Paramount Networks International,"Miami, FL 33136 
(Overtown area)",Miami,118.0
Senior Creative Director,Creative Director,Metrostudio,"Miami, FL",Miami,121.5
Metaverse Creative Director,Creative Director,Accenture,"Miami, FL 33126 
(Flagami area)
+1 location",Miami,211.458
Social Media Director,Creative Director,Miami Dade College,"Miami, FL 33132 
(Downtown area)",Miami,85.7935
Creative Director,Creative Director,Paper Street Media,"Miami, FL 33132 
(Downtown area)",Miami,86.7
"Creative Services Director, WSFL",Creative Director,The E.W. Scripps Company,"Miami, FL",Miami,101.85
Associate Creative Director-Copy,Creative Director,Razorfish,"Remote in Miami, FL 33133",Miami,104.5
"Boutique Director, Miami Design District, Men's",Creative Director,Christian Dior Couture,"Miami, FL 33137 
(Little Haiti area)",Miami,55.1
Creative Director,Creative Director,West Marine,"Fort Lauderdale, FL",Miami,133.5
Creative Director,Creative Director,Viramar Worldwide,"Fort Lauderdale, FL",Miami,89.3
Creative Director - Marketing Manager,Creative Director,Orionvisual,"Miami, FL 33150",Miami,73.1
